,images,brand
0,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-D34_zoom1.jpg,olympikus
0,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-D34_zoom2.jpg,olympikus
0,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-D34_zoom3.jpg,olympikus
0,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-D34_zoom4.jpg,olympikus
0,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-D34_zoom5.jpg,olympikus
1,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-120_zoom1.jpg,olympikus
1,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-120_zoom2.jpg,olympikus
1,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-120_zoom3.jpg,olympikus
1,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-120_zoom4.jpg,olympikus
2,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-040_zoom1.jpg,olympikus
2,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-040_zoom2.jpg,olympikus
2,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-040_zoom3.jpg,olympikus
2,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-040_zoom4.jpg,olympikus
3,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-128_zoom1.jpg,olympikus
3,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-128_zoom2.jpg,olympikus
3,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-128_zoom3.jpg,olympikus
3,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-128_zoom4.jpg,olympikus
4,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-006_zoom1.jpg,olympikus
4,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-006_zoom2.jpg,olympikus
4,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-006_zoom3.jpg,olympikus
4,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-006_zoom4.jpg,olympikus
4,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-006_zoom5.jpg,olympikus
5,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-012_zoom1.jpg,olympikus
5,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-012_zoom2.jpg,olympikus
5,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-012_zoom3.jpg,olympikus
5,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-012_zoom4.jpg,olympikus
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom1.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom2.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom3.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom4.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom5.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom6.jpg,nike
6,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/HZM-1729-854_zoom7.jpg,nike
7,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-002_zoom1.jpg,olympikus
7,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-002_zoom2.jpg,olympikus
7,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-002_zoom3.jpg,olympikus
7,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-1787-002_zoom4.jpg,olympikus
8,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-034_zoom1.jpg,olympikus
8,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-034_zoom2.jpg,olympikus
8,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-034_zoom3.jpg,olympikus
8,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-034_zoom4.jpg,olympikus
9,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-012_zoom1.jpg,olympikus
9,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-012_zoom2.jpg,olympikus
9,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-012_zoom3.jpg,olympikus
9,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-012_zoom4.jpg,olympikus
9,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D22-2773-012_zoom5.jpg,olympikus
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom1.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom2.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom3.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom4.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom5.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom6.jpg,adidas
10,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-128_zoom7.jpg,adidas
12,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-158_zoom1.jpg,adidas
12,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-158_zoom2.jpg,adidas
12,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-158_zoom3.jpg,adidas
12,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-158_zoom4.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom1.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom2.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom3.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom4.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom5.jpg,adidas
13,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-226_zoom6.jpg,adidas
16,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-076_zoom1.jpg,adidas
16,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-076_zoom2.jpg,adidas
16,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-076_zoom3.jpg,adidas
16,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-3586-076_zoom4.jpg,adidas
17,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-4395-026_zoom1.jpg,adidas
17,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-4395-026_zoom2.jpg,adidas
17,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-4395-026_zoom3.jpg,adidas
17,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/COL-4395-026_zoom4.jpg,adidas
18,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-172_zoom1.jpg,asics
18,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-172_zoom2.jpg,asics
18,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-172_zoom3.jpg,asics
18,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-172_zoom4.jpg,asics
19,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-128_zoom1.jpg,asics
19,/home/raphael/Documents/Projects/netshoes_ml_project/netshoes/images/D18-3007-128_zoom2.jpg,asics
